日	4	1	象形 Pictographic	5	ニチ、ジツ、ひ、か		nichi, jitsu	hi, ka	day; Sunday	sun; time; day, date	2	4
通	10	2	形声 Phonetic	4	ツウ、[ツ]、とお-る、とお-す、かよ-う	ドウ	tsuu, [tsu]	too(ru), too(su), kayo(u)	pass; expert	walk along, pass by; pass through; pass (exams); be knows as; be admissible; come in; be understood; reach; draw (on a piece); drain (as a sink); be consistent. let (someone) pass; pass (something) through; make way for; let in, admit; usher in; cut through; pierce; permeate, penetrate; carry one's point; persist in; look over (a book); keep on doing, continue; pose as; pass (a law); order (a meal). commute; attend (school); ply between; frequent (a place); go (for treatments); circulate; breathe; be charged with	2	38
用	5	2	象形 Pictographic	4	ヨウ、もち-いる	ユウ	yoo	mochi(iru)	business, work; function; errand; engagement; use, service; expenses; call of nature. for, used for	use, adopt (a method), employ	11	3
外	5	2	会意 Com. Ideographic	5	ガイ、ゲ、そと、ほか、はず-す、はず-れる	ウイ	gai, ge	soto, hoka, ha(zusu), hazu(reru)	outside, without, beside, beyond the scope off	outside, exterior, open air; some other place; outside; the rest; take off, remove, unfasten, undo, detach, disconnect, put out off gear; miss, fail; avoid, evade, dodge; be off, come off, be or get out of place, be out of gear, run off the track, slip out or off, be dislocated, be disconnected, be off the hook (a phone), be unbuttoned, be unzipped	4	29
点	9	2	形声 Phonetic	3	テン		ten	-	point; mark; score, run; speck; stain; defect; a detail; standpoint; items, pieces; decimal point; vote	-	13	0
首	9	2	象形 Pictographic	3	シュ、くび	こうべ	shu	kubi	head; neck; beginning, the first; poem and song counter	neck, head	5	2
交	6	2	象形 Pictographic	3	コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす		koo	maji(waru), maji(eru), maji(ru), ma(zaru), ma(zeru), ka(u), ka(wasu)	coming and going, association; change of seasons	associate with, mingle with; interest; join. mix; converse with, cross (swords). blend, mingle; include, let in on. be mixed, be blended. exchange (messages); dodge, parry, avoid, turn aside	3	18
意	13	3	会意 Com. Ideographic	4	イ		i	-	mind, heart; care; liking, taste; inclination, will, intention; thought, idea; desire	-	11	0
報	12	5	会意 Com. Ideographic	3	ホウ、むく-いる	し	hoo	muku(iru)	news, report; reward, retribution	reward, compensate; repay; revenge	4	4
第	11	3	形声 Phonetic	2	ダイ		dai	-	residence. number (1, 2, 3, etc.)	-	2	0
先	6	1	会意 Com. Ideographic	5	セン、さき	ま	sen	saki	the future; priority, precedence	point, tip, end; nozzle; head (of a line); the first priority; the future; objective, destination; sequel, remainder; the other party; future	3	13
強	11	2	会意 Com. Ideographic	4	キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる	こわ、ごわ	kyoo, goo	tsuyo(i), tsuyo(maru), tsuyo(meru), shi(iru)	strength, might; strong person	strong, powerful, mighty, robust, vigorous, healthy; brave, courageous; severe, intense; durable, solid; get strong; strengthen, intensify, invigorate; confirm; emphasize, increase, redouble; force, coerce, constrain, compel	3	24
文	4	1	象形 Pictographic	4	ブン、モン、ふみ	あや、もじ	bun, mon	fumi	1/100 of a hyakume; crest; figures. literary text, production, composition; sentence; style; literature, art; the pen; civil affairs; decoration; characters; elegance	letter, note	15	2
話	13	2	形声 Phonetic	5	ワ、はな-す、はなし		wa	hana(su), hanashi	talk, speak, converse; tell; explain	talk, speak, converse; tell; explain. chat, conversation; story; rumor; news; consultation, negotiations; facts, reasons	5	14
要	9	4	象形 Pictographic	3	ヨウ、かなめ、い-る		yoo	kaname, i(ru)	main point, essence; aim; secret; need	require, need; waylay, ambush. pivot; the main point; the key (to)	5	7
務	11	5	形声 Phonetic	3	ム、つと-める、つと-まる		mu	tsuto(meru), tsuto(maru)	serve, fill a post, serve under; exert oneself, endeavor, work, be diligent; play (the part of)	serve, fill a post, serve under; exert oneself, endeavor, work, be diligent; play (the part of)	8	8
示	5	5	象形 Pictographic	3	ジ、シ、しめ-す		ji, shi	shime(su)	indication	show, indicate, point out, give (an example), signify, display, express	1	7
世	5	3	象形 Pictographic	4	セイ、セ、よ		sei, se	yo	generation; world. age, counter for kings of the same name	world, society, public; life, existence, career, life-time; age, era, generation, times; reign	4	12
経	11	5	形声 Phonetic	3	ケイ、キョウ、へ-る	キン、たていと、たて、つね	kei, kyoo	he(ru)	longitude; sutra; warp	pass, elapse; pass through; experience	3	4
所	8	3	会意 Com. Ideographic	3	ショ、ところ	ソ、ゾ、ら	sho	tokoro	place	place, spot, scene, site, seat; locality, district; room; distance; address; point, feature; passage (in a book), part; thing; time, moment; extent; matter of course	1	19
